question_id,question,reference_answer,generated_answer,cosine_similarity_pct,classification,notes
11,ماهي المستندات المطلوب ارفاقها للحصول على الاعانة؟,"تعبئة نموذج طلب الإعانة.
خطاب مقدم من الطالب/ــة بطلب الإعانة.
سجل العائلة لأفراد الأسرة.
السجل الأكاديمي.
صورة من الهوية الوطنية.
صورة من البطاقة الجامعية.
شهادة تعريف براتب ولي الأمر.
إفادة من الضمان الاجتماعي للأسرة في حال وفاة رب الأسرة.","تعبئة نموذج طلب الإعانة خطاب مقدم من الطالب/ــة بطلب الإعانة
المصدر المعتمد: [أسئلة شائعة] ماهي المستندات المطلوب ارفاقها للحصول على الاعانة؟",28.25,منخفض,confidence=high route=general
12,ماهي آلية وشروط الاستفادة من الاعانة الطلابية؟,"أن يكون الطالب/ــة منتظماً بالجامعة.
أن تكون المكافأة منقطعة لتجاوزها المدة النظامية المسموح بها.
تصرف إعانة مقدارها 500 ريال في حالة انقطاع المكافأة.
أن يحضر الطالب/ــة للإدارة ما يثبت احتياجه/ها للإعانة وفق المستندات المطلوبة لطلب إعانة أعلى من 500 ريال.
ألا يكون صدر بحق الطالب/ــة عقوبة تأديبية.
الحد الأقصى لقيمة القرض 1000 ريال، وما زاد على ذلك يعرض على إدارة صندوق الطالب.
إرفاق الأوراق الرسمية التي تثبت حاجته/ها إلى الإعانة.","- أن يكون الطالب/ــة منتظماً بالجامعة - ألا يكون صدر بحق الطالب/ــة عقوبة تأديبية
المصدر المعتمد: [أسئلة شائعة] ماهي آلية وشروط الاستفادة من الاعانة الطلابية؟",61.5,مرتفع,confidence=high route=general
13,هل يمكن للطالب/ــة الحصول على العشرة ريالات التي تحسم من المكافأة لصالح صندوق الطالب؟,لا يمكن الحصول عليها، وإنما يعاد صرفها على الأنشطة والبرامج الطلابية والرياضية، ويمكن للطالب/ــة الالتحاق بالنوادي والبرامج للاستفادة منها.,"لا يمكن الحصول عليها، وإنما يعاد صرفها على الأنشطة والبرامج الطلابية والرياضية، ويمكن للطالب/ــة الالتحاق بالنوادي والبرامج للاستفادة منها
المصدر المعتمد: [أسئلة شائعة] هل يمكن للطالب/ــة الحصول على العشرة ريالات التي تحسم من المكافأة لصالح صندوق الطالب؟",81.55,مرتفع,confidence=high route=general
14,هل يصرف لطلبة ذوي الإعاقة مكافأة؟,"نعم يصرف لهم مكافأة، ويتم تحديدها من وزارة الشؤون الاجتماعية على حسب حالة الطالب/ــة مع إضافة بدل إعاقة، وهي كالآتي:
الكفيف: تصرف له مكافأة شهرية مع راتب بالمرتبة الخامسة الدرجة الأولى.
المعاق: وهم فئتان تحددان على حسب نسبة الإعاقة المحددة من قبل وزارة الشؤون الاجتماعية.
متوسطي الإعاقة: تصرف لهم مكافأة شهرية مع بدل 1500 ريال.
شديدي الإعاقة: تصرف لهم مكافأة شهرية مع راتب المرتبة الخامسة الدرجة الأولى.","نعم يصرف لهم مكافأة، ويتم تحديدها من وزارة الشؤون الاجتماعية على حسب حالة الطالب/ــة مع إضافة بدل إعاقة، وهي كالآتي: متوسطي الإعاقة: تصرف لهم مكافأة شهرية مع بدل 1500 ريال
المصدر المعتمد: [أسئلة شائعة] هل يصرف لطلبة ذوي الإعاقة مكافأة؟",90.99,مرتفع,confidence=high route=general
15,ماهي الحالات التي لا تصرف فيها المكافأة؟,"لا تصرف المكافأة للطالب الذي تجاوز المدة النظامية.
تحسب فترة الاعتذار ضمن المدة النظامية.
لا تحسب فترة التأجيل ضمن المدة النظامية.
لا تحسب فترة الانقطاع ضمن المدة النظامية.
تحسب الفصول الدراسية السابقة للطالب المحول من داخل الجامعة، سواء من قسم إلى قسم آخر، أو من كلية إلى كلية داخل الجامعة.
الاعتذار عن الدراسة:
لا تصرف المكافأة للطالب الذي اعتذر عن الدراسة، حيث لا تصرف مكافأة الطالب المعتذر من تاريخ الاعتذار، ولا تسترجع المكافأة التي صرفت له خلال دراسته حتى اعتذاره، ويحتسب فصل الاعتذار ضمن المدة النظامية.
تأجيل الدراسة:
لا تصرف المكافأة للطالب الذي أجل الدراسة، ولا تحسب مدة التأجيل ضمن المدة النظامية.
الحصول على إنذار أكاديمي أو قرار تأديبي:
لا تصرف المكافأة للطالب الذي وجه له إنذار أكاديمياً أو قرار تأديبي.","- لا تصرف المكافأة للطالب الذي اعتذر عن الدراسة، حيث لا تصرف مكافأة الطالب المعتذر من تاريخ الاعتذار، ولا تسترجع المكافأة التي صرفت له خلال دراسته حتى اعتذاره، ويحتسب فصل الاعتذار ضمن المدة النظامية - لا تصرف المكافأة للطالب الذي تجاوز المدة النظامية - لا تصرف المكافأة للطالب الذي أجل الدراسة، ولا تحسب مدة التأجيل ضمن المدة النظامية
المصدر المعتمد: [أسئلة شائعة] ماهي الحالات التي لا تصرف فيها المكافأة؟",76.87,مرتفع,confidence=high route=general
16,هل يصرف للطلبة مكافأة امتياز؟,نعم تصرف مكافأة الامتياز لطلبة البكالوريوس، ومقدارها 1000 ريال للطالب الحاصل على تقدير ممتاز في كل عام دراسي.,"نعم تصرف مكافأة الامتياز لطلبة البكالوريوس، ومقدارها 1000 ريال للطالب الحاصل على تقدير ممتاز في كل عام دراسي
المصدر المعتمد: [أسئلة شائعة] هل يصرف للطلبة مكافأة امتياز؟",87.25,مرتفع,confidence=high route=general
17,كم المدة النظامية لصرف المكافآت الشهرية لطلبة الكليات؟,حسب الخطة النظامية المعتمدة للتخرج.,لا تتوفر في المصادر الجامعية المعتمدة الحالية تغطية كافية لموضوع التمويل والمنح؛ لذلك لا أستطيع تقديم إجابة دقيقة الآن.,31.9,متوسط,confidence=low route=general
18,ماهي متطلبات الحصول على المكافأة الشهرية؟,"أن يكون الطالب/ــة منتظماً.
عدم وجود إنذار أكاديمي.
وجود جدول دراسي.",لا تتوفر في المصادر الجامعية المعتمدة الحالية تغطية كافية لموضوع التمويل والمنح؛ لذلك لا أستطيع تقديم إجابة دقيقة الآن.,40.64,متوسط,confidence=low route=general
19,ماهي إجراءات القبول في السكن الجامعي؟,"تحدد إدارة السكن الداخلي الطاقة الاستيعابية للقبول قبل بدء العام الدراسي بوقت كافٍ.
فتح باب التقديم الإلكتروني على السكن يكون بعد إغلاق باب التسجيل في الجامعة والانتهاء من إعلان جميع دفعات المرشحين للقبول حسب الموعد الذي تحدده إدارة السكن.
يتم حصر أسماء المقبولات في السكن واستدعاؤهن قبل بداية الدراسة بأسبوع لتعبئة المستندات والنماذج اللازمة، ويشترط حضور ولي الأمر، ولا يجوز للطالبة تعبئتها دون علم ولي أمرها.
إذا كان ولي أمر الطالبة هو الشخص الذي سيتولى أخذ الطالبة في بداية الإجازات والعطلات الرسمية ولم يوكل وكيلاً ينوب عنه، فيقدم ما يلي:
صورتين من حفيظة النفوس أو بطاقة العائلة موضح فيها إثبات الطالبة أو وثيقة الولاية الشرعية على الطالبة.
صورتين شخصية لولي أمر الطالبة أو الولي الشرعي.
إذا كان لولي أمر الطالبة وكيل ينوب عنه في أخذ الطالبة من السكن في بداية الإجازات والعطل الرسمية، فيقدم الوثائق التالية:
صورتين لحفيظة النفوس أو بطاقة الأحوال للوكيل أو الوكيلة.
وكالة شرعية من المحكمة أو تفويض يعبأ من قبل ولي الأمر أمام إدارة محارم الطالبة.
لا يجوز للوكيل أن يتنازل دون علم الولي الشرعي عن وكالته لوكيل آخر.
يستقبل السكن الطالبات بدءًا من الساعة الثانية ظهرًا يوم السبت لكل بداية دراسة بعد العطلات الدراسية حتى الساعة العاشرة مساءً.
بعد قبول الطالبات في السكن ترفع أسماء الطالبات المقبولات لجهة الاختصاص لاعتمادها.","تحدد إدارة السكن الداخلي الطاقة الاستيعابية للقبول قبل بدء العام الدراسي بوقت كافٍ فتح باب التقديم الإلكتروني على السكن يكون بعد إغلاق باب التسجيل في الجامعة والانتهاء من إعلان جميع دفعات المرشحين للقبول حسب الموعد الذي تحدده إدارة السكن
المصدر المعتمد: [أسئلة شائعة] ماهي إجراءات القبول في السكن الجامعي؟",83.38,مرتفع,confidence=high route=general
20,هل أستطيع حجز موعد للقاء مسؤول؟,نعم، يتوفر نموذج إلكتروني لطلب مقابلة مسؤول، وسيتم تحديد الموعد المناسب بعد مراجعة الطلب.,"نعم، يتوفر نموذج إلكتروني لطلب مقابلة مسؤول، وسيتم تحديد الموعد المناسب بعد مراجعة الطلب
المصدر المعتمد: [أسئلة شائعة] هل أستطيع حجز موعد للقاء مسؤول؟",93.43,مرتفع,confidence=medium route=general
21,كيف يمكنني تقديم شكوى أو ملاحظة؟,"نرحب بملاحظاتكم أو الشكوى المقدمة من خلال البريد الإلكتروني:
tawasul@taibahu.edu.sa
أو عبر زيارة مكتب خدمة المستفيدين مباشرة.","نرحب بملاحظاتكم أو الشكوى المقدمة من خلال البريد الإلكتروني: أو عبر زيارة مكتب خدمة المستفيدين مباشرة
المصدر المعتمد: [أسئلة شائعة] كيف يمكنني تقديم شكوى أو ملاحظة؟",77.48,مرتفع,confidence=high route=general
22,ما هي ساعات العمل الرسمية لاستقبال المستفيدين؟,نسعد باستقبالكم من الأحد إلى الخميس، من الساعة 8:00 صباحًا وحتى 2:00 ظهرًا.,"نسعد باستقبالكم من الأحد إلى الخميس، من الساعة 8: 00 صباحًا وحتى 2: 00 ظهرًا
المصدر المعتمد: [أسئلة شائعة] ما هي ساعات العمل الرسمية لاستقبال المستفيدين؟

⚠️ تنبيه: تعذّر إيجاد نص صريح يجيب على سؤالك بدقة عالية؛ يُنصح بمراجعة الدليل الجامعي أو الجهة المختصة للتحقق.",71.03,مرتفع,confidence=low route=general
23,كيف يمكنني التواصل مع الكلية أو المرشد الأكاديمي؟,يمكنكم التواصل عبر البريد الإلكتروني الجامعي، أو من خلال خدمة المستفيدين التي تقوم بالتوجيه وفق الكلية المعنية.,"يمكنكم التواصل عبر البريد الإلكتروني الجامعي، أو من خلال خدمة المستفيدين التي تقوم بالتوجيه وفق الكلية المعنية
المصدر المعتمد: [أسئلة شائعة] كيف يمكنني التواصل مع الكلية أو المرشد الأكاديمي؟",87.75,مرتفع,confidence=medium route=general
24,كيف يمكنني التواصل مع إدارة خدمة المستفيدين؟,"يمكنك التواصل معنا عبر البريد الإلكتروني الرسمي للإدارة أو من خلال نموذج ""اتصل بنا"" الموجود على الموقع.
كما يمكنك الحضور شخصياً خلال ساعات الدوام الرسمي.","يمكنك التواصل معنا عبر البريد الإلكتروني الرسمي للإدارة أو من خلال نموذج ""اتصل بنا"" الموجود على الموقع
المصدر المعتمد: [أسئلة شائعة] كيف يمكنني التواصل مع إدارة خدمة المستفيدين؟",78.43,مرتفع,confidence=medium route=general
25,ماهي شروط القبول بالسكن الداخلي؟,"أن تكون الطالبة سعودية.
أن تكون الطالبة منتظمة في الدراسة في إحدى كليات الجامعة أو الدراسات العليا، وأن تسمح التعليمات والطاقة الاستيعابية للسكن بقبولها، ويشترط لقبول طالبة الدراسات العليا العمل لبعض الساعات المكتبية في الإشراف على الطالبات حسب تعليمات إدارة السكن.
أن تكون أسرة الطالبة غير مقيمة في المدينة التي فيها السكن.
ألا يكون صدر بشأنها حكم تأديبي من كليتها أو حرمت من السكن بقرار تأديبي.
أن توقع الطالبة وولي أمرها على الالتزام باللوائح والأنظمة الجامعية بما فيها اللوائح والأنظمة المنظمة للسكن وما يترتب على الخروج عنها.
يشترط لقبول الطالبات الباقيات للإعادة توفر أماكن شاغرة بالسكن وأن يتم تحصيل الرسوم المقررة للإعاشة أو أي رسوم أخرى يلزم بها طالبات السكن.
موافقة ولي الأمر على مشاركة الطالبة في الأنشطة والبرامج والرحلات الرسمية التي تعدها إدارة السكن داخل أو خارج السكن أو ما يستجد من شروط.","شروط القبول في الإسكان الطلابي حسب اللائحة: - أن يكون الطلبة غير مرتبطين بوظيفة المعلومات المتاحة غير واضحة في هذه النقطة.
المصدر المعتمد: [لائحة] القواعد المنظمة للإسكان الطلابي بجامعة طيبة، البند 2، الباب الثالث: الشروط والأنظمة > أولاً: شروط القبول بالإسكان الطلابي",68.45,مرتفع,confidence=high route=housing_conditions
26,ما هي التصنيفات العالمية التي دخلتها جامعة طيبة؟,جامعة طيبة تميزت بدخول العديد من التصنيفات الدولية المرموقة مثل تصنيف QS، وتصنيف Times Higher Education (THE)، بالإضافة إلى تصنيف Impact Rankings الذي يركز على المساهمة في تحقيق أهداف التنمية المستدامة (SDGs)، وتصنيف UI GreenMetric المتخصص في قياس الأداء البيئي والاستدامة في الجامعات.,"جامعة طيبة تميزت بدخول العديد من التصنيفات الدولية المرموقة مثل تصنيف QS، وتصنيف Times Higher Education (THE)، بالإضافة إلى تصنيف Impact Rankings الذي يركز على المساهمة في تحقيق أهداف التنمية المستدامة (SDGs)، وتصنيف UI GreenMetric المتخصص في قياس الأداء البيئي والاستدامة في الجامعات
المصدر المعتمد: [أسئلة شائعة] ما هي التصنيفات العالمية التي دخلتها جامعة طيبة؟",96.57,مرتفع,confidence=medium route=general
27,هل يحق لطلبة المنح الداخلية التقديم على التخصصات الصحية؟,لا يحق لطلبة المنح الداخلية التقديم على التخصصات الصحية.,لا تتوفر في المصادر الجامعية المعتمدة الحالية تغطية كافية لموضوع التمويل والمنح؛ لذلك لا أستطيع تقديم إجابة دقيقة الآن.,37.84,متوسط,confidence=low route=general
28,متى يتم تفعيل بوابة التسجيل للمنح الخارجية وماهي المستندات المطلوبة؟,"المنح الخارجية يتم التقديم عليها عبر بوابة تعلم في السعودية، ولمزيد من المعلومات يرجى زيارة الرابط:
https://studyinsaudi.moe.gov.sa/",لا تتوفر في المصادر الجامعية المعتمدة الحالية تغطية كافية لموضوع التمويل والمنح؛ لذلك لا أستطيع تقديم إجابة دقيقة الآن.,36.08,متوسط,confidence=low route=general
29,هل سيتم الإعلان عن أدنى نسبة تم قبولها للطالب/ـة للمنح الداخلية والخارجية؟,القبول في المنح الداخلية والخارجية مرهون بموافقة وزارة التعليم على الطلب والأعداد المتاحة لهم، وليس فقط النسبة الموزونة.,لا تتوفر في المصادر الجامعية المعتمدة الحالية تغطية كافية لموضوع التمويل والمنح؛ لذلك لا أستطيع تقديم إجابة دقيقة الآن.,44.79,متوسط,confidence=low route=general
30,هل من الممكن التعديل على بيانات الطالب عند الخطأ في رقم الجوال في المنح الداخلية والخارجية؟,يمكن تعديل البيانات الشخصية وبيانات التواصل للطالب من خلال رابط استكمال البيانات.,لا تتوفر في المصادر الجامعية المعتمدة الحالية تغطية كافية لموضوع التمويل والمنح؛ لذلك لا أستطيع تقديم إجابة دقيقة الآن.,9.51,منخفض,confidence=low route=general
31,هل من الممكن تحديد موعد قبول المنح (الخارجية - الداخلية)؟,قبول المنح الداخلية والخارجية يخضع لمعايير عديدة، ويتم بعدها رفع بيانات المرشحين لوزارة التعليم لأخذ الموافقات اللازمة وإبلاغ المقبولين عبر رسائل الجوال أو الإيميل.,لا تتوفر في المصادر الجامعية المعتمدة الحالية تغطية كافية لموضوع التمويل والمنح؛ لذلك لا أستطيع تقديم إجابة دقيقة الآن.,38.86,متوسط,confidence=low route=general
32,هل يحق للطالب الدراسة بنظام الزيارة في جامعة أخرى دون التقيد بإجراءات طلب الزيارة من جامعة طيبة؟,لا، وسيتم طي قيد سجل الطالب وعدم احتساب المقررات التي درسها بجامعة الزيارة.,"لا، لا، وسيتم طي قيد سجل الطالب وعدم احتساب المقررات التي درسها بجامعة الزيارة
المصدر المعتمد: [أسئلة شائعة] هل يحق للطالب الدراسة بنظام الزيارة في جامعة أخرى دون التقيد بإجراءات طلب الزيارة من جامعة طيبة؟",82.62,مرتفع,confidence=medium route=general
33,كم عدد الفصول الدراسية التي يمكنني فيها الدراسة على نظام الزيارة؟,ثلاثة فصول دراسية بما لا يتجاوز 25% من مجموع الخطة الدراسية للطالب.,"ثلاثة فصول دراسية بما لا يتجاوز 25% من مجموع الخطة الدراسية للطالب
المصدر المعتمد: [أسئلة شائعة] كم عدد الفصول الدراسية التي يمكنني فيها الدراسة على نظام الزيارة؟",73.4,مرتفع,confidence=medium route=general
34,هل يتم احتساب درجات المقررات التي درستها بنظام الزيارة في جامعة أخرى ضمن المعدل التراكمي؟,يتم رصدها كمواد معادلة.,لا تتوفر في المصادر الجامعية المعتمدة الحالية تغطية كافية لموضوع الزي الجامعي؛ لذلك لا أستطيع تقديم إجابة دقيقة الآن.,4.4,منخفض,confidence=low route=gpa_formula
35,هل يستطيع الطالب المنذر أكاديمياً الدراسة على نظام الزيارة؟,نعم.,لا تتوفر في المصادر الجامعية المعتمدة الحالية تغطية كافية لموضوع الزي الجامعي؛ لذلك لا أستطيع تقديم إجابة دقيقة الآن.,7.63,منخفض,confidence=low route=general
36,هل يمكن تغيير طلبي بعد إغلاق بوابة التحويل؟,لا يمكن.,لم أجد إجابة صريحة في المصادر الجامعية المعتمدة.,,مستبعد,إجابة غير صالحة: نص فارغ/قصير جداً أو رد الـfallback الرسمي.
37,هل يمكن التقديم للتحويل من الكليات التطبيقية (دبلوم) إلى الكليات الأخرى أو العكس؟,لا.,"بحسب البند د، من سبق له التحويل من خارج الجامعة، أو من سبق له التحويل من كلية إلى أخرى داخل الجامعة، فلا يحق له التحويل من قسم لآخر داخل الكلية أو من تخصص لآخر داخل القسم هـ. أن تستكمل إجراءات التحويل وفق التقويم الجامعي.
المصدر المعتمد: 
- [لائحة] لائحة الدراسة والاختبارات للمرحلة الجامعية، البند د، الفصل السادس: التحويل والمعادلة > القواعد التنفيذية للمادة الخامسة والعشرين
- [لائحة] لائحة الدراسة والاختبارات للمرحلة الجامعية، البند و، الفصل السادس: التحويل والمعادلة > القواعد التنفيذية للمادة الخامسة والعشرين
- [لائحة] لائحة الدراسة والاختبارات للمرحلة الجامعية، المادة السادسة والعشرون، الفصل السادس: التحويل والمعادلة > القواعد التنفيذية للمادة الخامسة والعشرين

⚠️ تنبيه: تعذّر إيجاد نص صريح يجيب على سؤالك بدقة عالية؛ يُنصح بمراجعة الدليل الجامعي أو الجهة المختصة للتحقق.",23.94,منخفض,confidence=low route=general
38,هل يمكن التقديم للتحويل إن كانت حالتي الدراسية زائراً؟,لا.,لم أجد إجابة صريحة في المصادر الجامعية المعتمدة.,,مستبعد,إجابة غير صالحة: نص فارغ/قصير جداً أو رد الـfallback الرسمي.
39,هل يمكن التقديم للتحويل إن كانت حالتي الدراسية طي قيد؟,لا.,لم أجد إجابة صريحة في المصادر الجامعية المعتمدة.,,مستبعد,إجابة غير صالحة: نص فارغ/قصير جداً أو رد الـfallback الرسمي.
40,هل يمكن التقديم للتحويل إن كانت حالتي الدراسية معتذراً أو مؤجلاً؟,نعم.,لم أجد إجابة صريحة في المصادر الجامعية المعتمدة.,,مستبعد,إجابة غير صالحة: نص فارغ/قصير جداً أو رد الـfallback الرسمي.
41,هل يمكن التقديم للتحويل لمن سبق له التحويل؟,لا، التحويل يكون لمرة واحدة فقط في المرحلة الجامعية.,"بحسب البند د، من سبق له التحويل من خارج الجامعة، أو من سبق له التحويل من كلية إلى أخرى داخل الجامعة، فلا يحق له التحويل من قسم لآخر داخل الكلية أو من تخصص لآخر داخل القسم هـ. أن تستكمل إجراءات التحويل وفق التقويم الجامعي.
المصدر المعتمد: 
- [لائحة] لائحة الدراسة والاختبارات للمرحلة الجامعية، البند د، الفصل السادس: التحويل والمعادلة > القواعد التنفيذية للمادة الخامسة والعشرين
- [لائحة] لائحة الدراسة والاختبارات للمرحلة الجامعية، البند و، الفصل السادس: التحويل والمعادلة > القواعد التنفيذية للمادة الخامسة والعشرين",44.4,متوسط,confidence=medium route=general
