question_id,question,pseudo_reference_answer,generated_answer,cosine_similarity_pct,classification,notes
11,ماهي المستندات المطلوب ارفاقها للحصول على الاعانة؟,تعبئة نموذج طلب الإعانة. خطاب مقدم من الطالب ــة بطلب الإعانة. سجل العائلة لأفراد الأسرة. السجل الأكاديمي. صورة من الهوية الوطنية. صورة من البطاقة الجامعية. شهادة تعريف براتب ولي الأمر. إفادة من الضمان الاجتماعي للأسرة في حال وفاة رب الأسرة.,الإعانة. سجل العائلة لأفراد الأسرة. السجل الأكاديمي. صورة من الهوية الوطنية. صورة من البطاقة الجامعية. شهادة تعريف براتب ولي الأمر. إفادة,75.33,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
12,ماهي آلية وشروط الاستفادة من الاعانة الطلابية؟,أن يكون الطالب ــة منتظماً بالجامعة. أن تكون المكافأة منقطعة لتجاوزها المدة النظامية المسموح بها. تصرف إعانة مقدارها ريال في حالة انقطاع المكافأة. أن يحضر الطالب ــة للإدارة ما يثبت احتياجه ها للإعانة وفق المستندات المطلوبة لطلب إعانة أعلى من ريال. ألا يكون صدر بحق الطالب ــة عقوبة تأديبية. الحد الأقصى لقيمة القرض ريال، وما زاد على ذلك يعرض على إدارة صندوق الطالب. إرفاق الأوراق الرسمية التي تثبت حاجته ها إلى الإعانة.,ريال في حالة انقطاع المكافأة. أن يحضر الطالب ــة للإدارة ما يثبت احتياجه ها للإعانة وفق المستندات المطلوبة لطلب إعانة أعلى من ريال. ألا يكون صدر بحق الطالب ــة عقوبة تأديبية. الحد الأقصى لقيمة القرض ريال، وما,93.27,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
13,هل يمكن للطالب/ــة الحصول على العشرة ريالات التي تحسم من المكافأة لصالح صندوق الطالب؟,لا يمكن الحصول عليها، وإنما يعاد صرفها على الأنشطة والبرامج الطلابية والرياضية، ويمكن للطالب ــة الالتحاق بالنوادي والبرامج للاستفادة منها.,يعاد صرفها على الأنشطة والبرامج الطلابية والرياضية، ويمكن للطالب ــة الالتحاق,83.23,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
14,هل يصرف لطلبة ذوي الإعاقة مكافأة؟,نعم يصرف لهم مكافأة، ويتم تحديدها من وزارة الشؤون الاجتماعية على حسب حالة الطالب ــة مع إضافة بدل إعاقة، وهي كالآتي: الكفيف: تصرف له مكافأة شهرية مع راتب بالمرتبة الخامسة الدرجة الأولى. المعاق: وهم فئتان تحددان على حسب نسبة الإعاقة المحددة من قبل وزارة الشؤون الاجتماعية. متوسطي الإعاقة: تصرف لهم مكافأة شهرية مع بدل ريال. شديدي الإعاقة: تصرف لهم مكافأة شهرية مع راتب المرتبة الخامسة الدرجة الأولى.,إضافة بدل إعاقة، وهي كالآتي: الكفيف: تصرف له مكافأة شهرية مع راتب بالمرتبة الخامسة الدرجة الأولى. المعاق: وهم فئتان تحددان على حسب نسبة الإعاقة المحددة من قبل وزارة الشؤون الاجتماعية. متوسطي الإعاقة: تصرف لهم مكافأة,91.35,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
15,ماهي الحالات التي لا تصرف فيها المكافأة؟,لا تصرف المكافأة للطالب الذي تجاوز المدة النظامية. تحسب فترة الاعتذار ضمن المدة النظامية. لا تحسب فترة التأجيل ضمن المدة النظامية. لا تحسب فترة الانقطاع ضمن المدة النظامية. تحسب الفصول الدراسية السابقة للطالب المحول من داخل الجامعة، سواء من قسم إلى قسم آخر، أو من كلية إلى كلية داخل الجامعة. الاعتذار عن الدراسة: لا تصرف المكافأة للطالب الذي اعتذر عن الدراسة، حيث لا تصرف مكافأة الطالب المعتذر من تاريخ الاعتذار،,الدراسية السابقة للطالب المحول من داخل الجامعة، سواء من قسم إلى قسم آخر، أو من كلية إلى كلية داخل الجامعة. الاعتذار عن الدراسة: لا تصرف المكافأة للطالب الذي اعتذر عن الدراسة، حيث لا تصرف مكافأة الطالب المعتذر من تاريخ الاعتذار، ولا تسترجع المكافأة التي صرفت له خلال دراسته حتى اعتذاره، ويحتسب فصل الاعتذار ضمن المدة النظامية. تأجيل الدراسة: لا تصرف المكافأة,92.21,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
16,هل يصرف للطلبة مكافأة امتياز؟,نعم تصرف مكافأة الامتياز لطلبة البكالوريوس، ومقدارها ريال للطالب الحاصل على تقدير ممتاز في كل عام دراسي.,لطلبة البكالوريوس، ومقدارها ريال للطالب الحاصل على تقدير ممتاز,81.47,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
17,كم المدة النظامية لصرف المكافآت الشهرية لطلبة الكليات؟,حسب الخطة النظامية المعتمدة للتخرج.,الخطة النظامية المعتمدة,68.26,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
18,ماهي متطلبات الحصول على المكافأة الشهرية؟,أن يكون الطالب ــة منتظماً. عدم وجود إنذار أكاديمي. وجود جدول دراسي.,ــة منتظماً. عدم وجود إنذار أكاديمي. وجود,83.19,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
19,ماهي إجراءات القبول في السكن الجامعي؟,تحدد إدارة السكن الداخلي الطاقة الاستيعابية للقبول قبل بدء العام الدراسي بوقت كافٍ. فتح باب التقديم الإلكتروني على السكن يكون بعد إغلاق باب التسجيل في الجامعة والانتهاء من إعلان جميع دفعات المرشحين للقبول حسب الموعد الذي تحدده إدارة السكن. يتم حصر أسماء المقبولات في السكن واستدعاؤهن قبل بداية الدراسة بأسبوع لتعبئة المستندات والنماذج اللازمة، ويشترط حضور ولي الأمر،,المستندات والنماذج اللازمة، ويشترط حضور ولي الأمر، ولا يجوز للطالبة تعبئتها دون علم ولي أمرها. إذا كان ولي أمر الطالبة هو الشخص الذي سيتولى أخذ الطالبة في بداية الإجازات والعطلات الرسمية ولم يوكل وكيلاً ينوب عنه، فيقدم ما يلي: صورتين من حفيظة النفوس أو بطاقة العائلة موضح فيها إثبات الطالبة أو وثيقة الولاية الشرعية على الطالبة. صورتين شخصية لولي أمر الطالبة أو الولي الشرعي. إذا كان لولي أمر الطالبة وكيل ينوب عنه في أخذ الطالبة من السكن في بداية الإجازات والعطل الرسمية، فيقدم الوثائق التالية: صورتين لحفيظة النفوس أو بطاقة الأحوال للوكيل أو الوكيلة. وكالة شرعية من المحكمة أو تفويض يعبأ من قبل,29.73,منخفض,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
20,هل أستطيع حجز موعد للقاء مسؤول؟,نعم، يتوفر نموذج إلكتروني لطلب مقابلة مسؤول، وسيتم تحديد الموعد المناسب بعد مراجعة الطلب.,إلكتروني لطلب مقابلة مسؤول، وسيتم تحديد الموعد المناسب,88.14,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
21,كيف يمكنني تقديم شكوى أو ملاحظة؟,نرحب بملاحظاتكم أو الشكوى المقدمة من خلال البريد الإلكتروني: tawasul taibahu.edu.sa أو عبر زيارة مكتب خدمة المستفيدين مباشرة.,المقدمة من خلال البريد الإلكتروني: tawasul taibahu.edu.sa أو عبر زيارة,83.29,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
22,ما هي ساعات العمل الرسمية لاستقبال المستفيدين؟,نسعد باستقبالكم من الأحد إلى الخميس، من الساعة : صباحًا وحتى : ظهرًا.,الأحد إلى الخميس، من الساعة : صباحًا,87.58,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
23,كيف يمكنني التواصل مع الكلية أو المرشد الأكاديمي؟,يمكنكم التواصل عبر البريد الإلكتروني الجامعي، أو من خلال خدمة المستفيدين التي تقوم بالتوجيه وفق الكلية المعنية.,الإلكتروني الجامعي، أو من خلال خدمة المستفيدين التي تقوم,80.61,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
24,كيف يمكنني التواصل مع إدارة خدمة المستفيدين؟,يمكنك التواصل معنا عبر البريد الإلكتروني الرسمي للإدارة أو من خلال نموذج اتصل بنا الموجود على الموقع. كما يمكنك الحضور شخصياً خلال ساعات الدوام الرسمي.,الرسمي للإدارة أو من خلال نموذج اتصل بنا الموجود على الموقع. كما يمكنك,80.03,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
25,ماهي شروط القبول بالسكن الداخلي؟,أن تكون الطالبة سعودية. أن تكون الطالبة منتظمة في الدراسة في إحدى كليات الجامعة أو الدراسات العليا، وأن تسمح التعليمات والطاقة الاستيعابية للسكن بقبولها،,في الإشراف على الطالبات حسب تعليمات إدارة السكن. أن تكون أسرة الطالبة غير مقيمة في المدينة التي فيها السكن. ألا يكون صدر بشأنها حكم تأديبي من كليتها أو حرمت من السكن بقرار تأديبي. أن توقع الطالبة وولي أمرها على الالتزام باللوائح والأنظمة الجامعية بما فيها اللوائح والأنظمة المنظمة للسكن وما يترتب على الخروج عنها. يشترط لقبول الطالبات الباقيات للإعادة توفر أماكن شاغرة بالسكن وأن يتم تحصيل الرسوم المقررة,44.14,متوسط,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
26,ما هي التصنيفات العالمية التي دخلتها جامعة طيبة؟,جامعة طيبة تميزت بدخول العديد من التصنيفات الدولية المرموقة مثل تصنيف QS، وتصنيف Times Higher Education THE ، بالإضافة إلى تصنيف Impact Rankings الذي يركز على المساهمة في تحقيق أهداف التنمية المستدامة SDGs ، وتصنيف UI GreenMetric المتخصص في قياس الأداء البيئي والاستدامة في الجامعات.,QS، وتصنيف Times Higher Education THE ، بالإضافة إلى تصنيف Impact Rankings الذي يركز على المساهمة في تحقيق أهداف التنمية المستدامة SDGs ،,80.48,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
27,هل يحق لطلبة المنح الداخلية التقديم على التخصصات الصحية؟,لا يحق لطلبة المنح الداخلية التقديم على التخصصات الصحية.,لطلبة المنح الداخلية التقديم على,29.7,منخفض,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
28,متى يتم تفعيل بوابة التسجيل للمنح الخارجية وماهي المستندات المطلوبة؟,المنح الخارجية يتم التقديم عليها عبر بوابة تعلم في السعودية، ولمزيد من المعلومات يرجى زيارة الرابط:,عليها عبر بوابة تعلم في السعودية، ولمزيد من المعلومات,77.71,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
29,هل سيتم الإعلان عن أدنى نسبة تم قبولها للطالب/ـة للمنح الداخلية والخارجية؟,القبول في المنح الداخلية والخارجية مرهون بموافقة وزارة التعليم على الطلب والأعداد المتاحة لهم، وليس فقط النسبة الموزونة.,والخارجية مرهون بموافقة وزارة التعليم على الطلب والأعداد المتاحة لهم،,82.84,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
30,هل من الممكن التعديل على بيانات الطالب عند الخطأ في رقم الجوال في المنح الداخلية والخارجية؟,يمكن تعديل البيانات الشخصية وبيانات التواصل للطالب من خلال رابط استكمال البيانات.,الشخصية وبيانات التواصل للطالب من خلال رابط,78.87,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
31,هل من الممكن تحديد موعد قبول المنح (الخارجية - الداخلية)؟,قبول المنح الداخلية والخارجية يخضع لمعايير عديدة، ويتم بعدها رفع بيانات المرشحين لوزارة التعليم لأخذ الموافقات اللازمة وإبلاغ المقبولين عبر رسائل الجوال أو الإيميل.,عديدة، ويتم بعدها رفع بيانات المرشحين لوزارة التعليم لأخذ الموافقات اللازمة وإبلاغ المقبولين,83.74,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
32,هل يحق للطالب الدراسة بنظام الزيارة في جامعة أخرى دون التقيد بإجراءات طلب الزيارة من جامعة طيبة؟,لا، وسيتم طي قيد سجل الطالب وعدم احتساب المقررات التي درسها بجامعة الزيارة.,قيد سجل الطالب وعدم احتساب المقررات التي,61.75,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
33,كم عدد الفصول الدراسية التي يمكنني فيها الدراسة على نظام الزيارة؟,ثلاثة فصول دراسية بما لا يتجاوز % من مجموع الخطة الدراسية للطالب.,بما لا يتجاوز % من مجموع الخطة,47.99,متوسط,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
34,هل يتم احتساب درجات المقررات التي درستها بنظام الزيارة في جامعة أخرى ضمن المعدل التراكمي؟,يتم رصدها كمواد معادلة.,مواد معادلة.,74.41,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode second_chunk
35,هل يستطيع الطالب المنذر أكاديمياً الدراسة على نظام الزيارة؟,,,,مستبعد,إجابة ناقصة جداً
36,هل يمكن تغيير طلبي بعد إغلاق بوابة التحويل؟,,,,مستبعد,إجابة ناقصة جداً
37,هل يمكن التقديم للتحويل من الكليات التطبيقية (دبلوم) إلى الكليات الأخرى أو العكس؟,,,,مستبعد,إجابة ناقصة جداً
38,هل يمكن التقديم للتحويل إن كانت حالتي الدراسية زائراً؟,,,,مستبعد,إجابة ناقصة جداً
39,هل يمكن التقديم للتحويل إن كانت حالتي الدراسية طي قيد؟,,,,مستبعد,إجابة ناقصة جداً
40,هل يمكن التقديم للتحويل إن كانت حالتي الدراسية معتذراً أو مؤجلاً؟,,,,مستبعد,إجابة ناقصة جداً
41,هل يمكن التقديم للتحويل لمن سبق له التحويل؟,لا، التحويل يكون لمرة واحدة فقط في المرحلة الجامعية.,يكون لمرة واحدة فقط في,48.1,متوسط,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
42,ماذا ينبغي أن أفعل بعد صدور النتيجة بالموافقة؟,يرجى مراجعة خطوات التحويل في دليل التحويل الداخلي والخارجي.,خطوات التحويل في دليل التحويل,78.1,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
43,هل يعني ترشيحي للتحويل قبول نهائي؟,لا، سيتم القبول النهائي بعد المفاضلة لأعلى المعدلات وضوابط الكلية.,القبول النهائي بعد المفاضلة لأعلى المعدلات,82.7,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
44,هل يشترط اختبار كفايات اللغة الإنجليزية للتحويل لتخصص اللغة الإنجليزية؟,نعم، يشترط الاختبار على جميع المتقدمين لتخصص اللغة الإنجليزية بدرجة كحد أدنى، وحسب المقاعد الشاغرة.,على جميع المتقدمين لتخصص اللغة الإنجليزية بدرجة كحد أدنى،,82.66,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
45,هل يوجد اختبار قبول أو مقابلة شخصية للتحويل؟ وكيف أعلم بذلك؟,نعم، ولكن في بعض التخصصات مثل: كلية الطب طب الأسنان التربية التصاميم والفنون وسيتم إفادة المتقدم بموعد ومكان الاختبار عن طريق الكلية.,مثل: كلية الطب طب الأسنان التربية التصاميم والفنون وسيتم إفادة المتقدم بموعد,89.02,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
46,هل يمكن التحويل من الكليات النظرية إلى الكليات العلمية؟,نعم، كلية العلوم بالمدينة فقط وفق الشروط التالية: أن يكون حاصلًا على الثانوية العامة مسار علمي. أن يكون حاصلًا على اختبار تحصيلي علمي للطلاب . أن يكون هناك مقاعد متاحة.,التالية: أن يكون حاصلًا على الثانوية العامة مسار علمي. أن يكون حاصلًا على اختبار تحصيلي علمي,78.56,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
47,هل يوجد تحويل من الكليات النظرية إلى الكليات الصحية؟,نعم، كلية التمريض فقط، وحسب المفاضلة لأعلى معدل ووفق ضوابط وشروط الكلية.,فقط، وحسب المفاضلة لأعلى معدل ووفق ضوابط,57.89,متوسط,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
48,هل يوجد تحويل من الكليات العلمية إلى الكليات الصحية؟,نعم: كلية التمريض بالمدينة كلية العلوم الطبية التطبيقية بينبع كلية العلوم الطبية التطبيقية بالعلا كلية التأهيل الطبي تخصص الأطراف الصناعية والأجهزة المساعدة وذلك وفق دليل التحويل.,الطبية التطبيقية بينبع كلية العلوم الطبية التطبيقية بالعلا كلية التأهيل الطبي تخصص الأطراف الصناعية,86.79,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
49,معدلي عالي ولم أستطع التحويل لبعض التخصصات، لماذا؟,نظراً للإقبال الكبير لهذه التخصصات وبمعدلات عالية جداً، تم وضع حد أدنى للترشيح لهذه التخصصات.,لهذه التخصصات وبمعدلات عالية جداً، تم وضع حد أدنى,91.33,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
50,كيف يعرف الطالب نتيجة القبول؟,يجب على الطالب الدخول على حسابه عبر بوابة القبول الإلكتروني في المواعيد المعلنة والمحددة في الجدول الزمني للتقديم، ويساند ذلك إرسال رسائل نصية على جوال الطالب والبريد الإلكتروني.,بوابة القبول الإلكتروني في المواعيد المعلنة والمحددة في الجدول الزمني للتقديم، ويساند ذلك إرسال رسائل,82.26,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
51,طالب دخل اختبار القدرات العامة أكثر من مرة، فماهي النتيجة التي يتم احتسابها في القبول؟,يتم احتساب أعلى نتيجة حصل عليها الطالب في اختبار القدرات العامة.,أعلى نتيجة حصل عليها الطالب في اختبار,86.35,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
52,طالب تأخر في ترتيب الرغبات في الموعد المحدد؟,إذا لم يتم ترتيب الرغبات في الفترة المحددة حسب الجدول الزمني للقبول، سيتم إلغاء الترشيح، ولا يحق للمتقدم بعد ذلك المطالبة بالمقعد.,في الفترة المحددة حسب الجدول الزمني للقبول، سيتم إلغاء الترشيح، ولا يحق,90.45,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
53,ماهي التخصصات المتاحة للقبول بالجامعة؟,يمكنك الدخول على رابط البرامج والتخصصات المتاحة على موقع بوابة القبول الإلكتروني للاطلاع عليها.,رابط البرامج والتخصصات المتاحة على موقع بوابة القبول,95.67,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
54,ماهي آلية المفاضلة في القبول؟,يتم القبول عن طريق المفاضلة بين المتقدمين تنافسياً وفقاً لما يلي: النسبة الموزونة. ترتيب الرغبات. توافر المقاعد المتاحة. شروط الكليات. موقع الجامعة الرسمي عمادة القبول والتسجيل دليل القبول .,تنافسياً وفقاً لما يلي: النسبة الموزونة. ترتيب الرغبات. توافر المقاعد المتاحة. شروط الكليات. موقع الجامعة,77.09,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
55,ماهي معايير القبول في الجامعة؟,يمكن الاطلاع على معايير القبول من خلال موقع الجامعة.,على معايير القبول من خلال,68.11,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
56,طالب سجل العام الماضي ولم يتم قبوله، هل يمكن التسجيل من التقديم القديم أم يلزم التقديم من جديد؟,يتوجب التقديم من جديد من خلال الدخول على بوابة القبول الإلكتروني.,من جديد من خلال الدخول على بوابة,42.46,متوسط,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
