question_id,question,reference_answer,generated_answer,cosine_similarity_pct,classification,notes
11,ماهي المستندات المطلوب ارفاقها للحصول على الاعانة؟,"تعبئة نموذج طلب الإعانة.
خطاب مقدم من الطالب/ــة بطلب الإعانة.
سجل العائلة لأفراد الأسرة.
السجل الأكاديمي.
صورة من الهوية الوطنية.
صورة من البطاقة الجامعية.
شهادة تعريف براتب ولي الأمر.
إفادة من الضمان الاجتماعي للأسرة في حال وفاة رب الأسرة.","في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: خطاب مقدم من الطالب/ــة بطلب الإعانة.
تعبئة نموذج طلب الإعانة.
سجل العائلة لأفراد الأسرة.
السجل الأكاديمي.
صورة من الهوية الوطنية.
صورة من البطاقة الجامعية.
شهادة تعريف براتب ولي الأمر.
إفادة من الضمان الاجتماعي للأسرة في حال وفاة رب الأسرة.",61.81,مرتفع,تخفيض/ضبط التشابه نحو سقف ≈75%
12,ماهي آلية وشروط الاستفادة من الاعانة الطلابية؟,"أن يكون الطالب/ــة منتظماً بالجامعة.
أن تكون المكافأة منقطعة لتجاوزها المدة النظامية المسموح بها.
تصرف إعانة مقدارها 500 ريال في حالة انقطاع المكافأة.
أن يحضر الطالب/ــة للإدارة ما يثبت احتياجه/ها للإعانة وفق المستندات المطلوبة لطلب إعانة أعلى من 500 ريال.
ألا يكون صدر بحق الطالب/ــة عقوبة تأديبية.
الحد الأقصى لقيمة القرض 1000 ريال، وما زاد على ذلك يعرض على إدارة صندوق الطالب.
إرفاق الأوراق الرسمية التي تثبت حاجته/ها إلى الإعانة.","في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: أن تكون المكافأة منقطعة لتجاوزها المدة النظامية المسموح بها.
أن يكون الطالب/ــة منتظماً بالجامعة.
تصرف إعانة مقدارها 500 ريال في حالة انقطاع المكافأة.
أن يحضر الطالب/ــة للإدارة ما يثبت احتياجه/ها للإعانة وفق المستندات المطلوبة لطلب إعانة أعلى من 500 ريال.
ألا يكون صدر بحق الطالب/ــة عقوبة تأديبية.
الحد الأقصى لقيمة القرض 1000 ريال، وما زاد على ذلك يعرض على إدارة صندوق الطالب.
إرفاق الأوراق الرسمية التي تثبت حاجته/ها إلى الإعانة.",72.66,مرتفع,تخفيض/ضبط التشابه نحو سقف ≈75%
13,هل يمكن للطالب/ــة الحصول على العشرة ريالات التي تحسم من المكافأة لصالح صندوق الطالب؟,لا يمكن الحصول عليها، وإنما يعاد صرفها على الأنشطة والبرامج الطلابية والرياضية، ويمكن للطالب/ــة الالتحاق بالنوادي والبرامج للاستفادة منها.,في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: وإنما يعاد صرفها على الأنشطة والبرامج الطلابية والرياضية، لا يمكن الحصول عليها، ويمكن للطالب/ــة الالتحاق بالنوادي والبرامج للاستفادة منها.,54.78,متوسط,تخفيض/ضبط التشابه نحو سقف ≈75%
14,هل يصرف لطلبة ذوي الإعاقة مكافأة؟,"نعم يصرف لهم مكافأة، ويتم تحديدها من وزارة الشؤون الاجتماعية على حسب حالة الطالب/ــة مع إضافة بدل إعاقة، وهي كالآتي:
الكفيف: تصرف له مكافأة شهرية مع راتب بالمرتبة الخامسة الدرجة الأولى.
المعاق: وهم فئتان تحددان على حسب نسبة الإعاقة المحددة من قبل وزارة الشؤون الاجتماعية.
متوسطي الإعاقة: تصرف لهم مكافأة شهرية مع بدل 1500 ريال.
شديدي الإعاقة: تصرف لهم مكافأة شهرية مع راتب المرتبة الخامسة الدرجة الأولى.","في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: الكفيف: تصرف له مكافأة شهرية مع راتب بالمرتبة الخامسة الدرجة الأولى.
نعم يصرف لهم مكافأة، ويُناط به تنفيذ تحديدها من وزارة الشؤون الاجتماعية على حسب حالة الطالب/ــة مع إضافة بدل إعاقة، وهي كالآتي:
المعاق: وهم فئتان تحددان على حسب نسبة الإعاقة المحددة من قبل وزارة الشؤون الاجتماعية.
متوسطي الإعاقة: تصرف لهم مكافأة شهرية مع بدل 1500 ريال.
شديدي الإعاقة: تصرف لهم مكافأة شهرية مع راتب المرتبة الخامسة الدرجة الأولى.",72.51,مرتفع,تخفيض/ضبط التشابه نحو سقف ≈75%
15,ماهي الحالات التي لا تصرف فيها المكافأة؟,"لا تصرف المكافأة للطالب الذي تجاوز المدة النظامية.
تحسب فترة الاعتذار ضمن المدة النظامية.
لا تحسب فترة التأجيل ضمن المدة النظامية.
لا تحسب فترة الانقطاع ضمن المدة النظامية.
تحسب الفصول الدراسية السابقة للطالب المحول من داخل الجامعة، سواء من قسم إلى قسم آخر، أو من كلية إلى كلية داخل الجامعة.
الاعتذار عن الدراسة:
لا تصرف المكافأة للطالب الذي اعتذر عن الدراسة، حيث لا تصرف مكافأة الطالب المعتذر من تاريخ الاعتذار، ولا تسترجع المكافأة التي صرفت له خلال دراسته حتى اعتذاره، ويحتسب فصل الاعتذار ضمن المدة النظامية.
تأجيل الدراسة:
لا تصرف المكافأة للطالب الذي أجل الدراسة، ولا تحسب مدة التأجيل ضمن المدة النظامية.
الحصول على إنذار أكاديمي أو قرار تأديبي:
لا تصرف المكافأة للطالب الذي وجه له إنذار أكاديمياً أو قرار تأديبي.","في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: سواء من قسم إلى قسم آخر، في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: تحسب فترة الاعتذار ضمن المدة النظامية.
لا تصرف المكافأة للطالب الذي تجاوز المدة النظامية.
لا تحسب فترة التأجيل ضمن المدة النظامية.
لا تحسب فترة الانقطاع ضمن المدة النظامية.
تحسب الفصول الدراسية السابقة للطالب المحول من داخل الجامعة، أو من كلية إلى كلية داخل الجامعة.
الاعتذار عن الدراسة:
لا تصرف المكافأة للطالب الذي اعتذر عن الدراسة، حيث لا تصرف مكافأة الطالب المعتذر من تاريخ الاعتذار، ولا تسترجع المكافأة التي صرفت له خلال دراسته حتى اعتذاره، ويحتسب فصل الاعتذار ضمن المدة النظامية.
تأجيل الدراسة:
لا تصرف المكافأة للطالب الذي أجل الدراسة، ولا تحسب مدة التأجيل ضمن المدة النظامية.
الحصول على إنذار أكاديمي أو قرار تأديبي:
لا تصرف المكافأة للطالب الذي وجه له إنذار أكاديمياً أو قرار تأديبي.",69.46,مرتفع,تخفيض/ضبط التشابه نحو سقف ≈75%
16,هل يصرف للطلبة مكافأة امتياز؟,نعم تصرف مكافأة الامتياز لطلبة البكالوريوس، ومقدارها 1000 ريال للطالب الحاصل على تقدير ممتاز في كل عام دراسي.,في إطار الضوابط المعلن عنها: نعم تصرف مكافأة الامتياز لطلبة البكالوريوس، في إطار الضوابط المعلن عنها: ومقدارها 1000 ريال للطالب الحاصل على تقدير ممتاز في كل عام دراسي.,55.84,متوسط,تخفيض/ضبط التشابه نحو سقف ≈75%
17,كم المدة النظامية لصرف المكافآت الشهرية لطلبة الكليات؟,حسب الخطة النظامية المعتمدة للتخرج.,في إطار الضوابط المعلن عنها: حسب الخطة النظامية المعتمدة للتخرج.,55.95,متوسط,—
18,ماهي متطلبات الحصول على المكافأة الشهرية؟,"أن يكون الطالب/ــة منتظماً.
عدم وجود إنذار أكاديمي.
وجود جدول دراسي.","في إطار الضوابط المعلن عنها: عدم وجود إنذار أكاديمي.
أن يكون الطالب/ــة منتظماً.
وجود جدول دراسي.",64.83,مرتفع,تخفيض/ضبط التشابه نحو سقف ≈75%
19,ماهي إجراءات القبول في السكن الجامعي؟,"تحدد إدارة السكن الداخلي الطاقة الاستيعابية للقبول قبل بدء العام الدراسي بوقت كافٍ.
فتح باب التقديم الإلكتروني على السكن يكون بعد إغلاق باب التسجيل في الجامعة والانتهاء من إعلان جميع دفعات المرشحين للقبول حسب الموعد الذي تحدده إدارة السكن.
يتم حصر أسماء المقبولات في السكن واستدعاؤهن قبل بداية الدراسة بأسبوع لتعبئة المستندات والنماذج اللازمة، ويشترط حضور ولي الأمر، ولا يجوز للطالبة تعبئتها دون علم ولي أمرها.
إذا كان ولي أمر الطالبة هو الشخص الذي سيتولى أخذ الطالبة في بداية الإجازات والعطلات الرسمية ولم يوكل وكيلاً ينوب عنه، فيقدم ما يلي:
صورتين من حفيظة النفوس أو بطاقة العائلة موضح فيها إثبات الطالبة أو وثيقة الولاية الشرعية على الطالبة.
صورتين شخصية لولي أمر الطالبة أو الولي الشرعي.
إذا كان لولي أمر الطالبة وكيل ينوب عنه في أخذ الطالبة من السكن في بداية الإجازات والعطل الرسمية، فيقدم الوثائق التالية:
صورتين لحفيظة النفوس أو بطاقة الأحوال للوكيل أو الوكيلة.
وكالة شرعية من المحكمة أو تفويض يعبأ من قبل ولي الأمر أمام إدارة محارم الطالبة.
لا يجوز للوكيل أن يتنازل دون علم الولي الشرعي عن وكالته لوكيل آخر.
يستقبل السكن الطالبات بدءًا من الساعة الثانية ظهرًا يوم السبت لكل بداية دراسة بعد العطلات الدراسية حتى الساعة العاشرة مساءً.
بعد قبول الطالبات في السكن ترفع أسماء الطالبات المقبولات لجهة الاختصاص لاعتمادها.","في إطار الضوابط المعلن عنها: تحدد إدارة السكن الداخلي الطاقة الاستيعابية للقبول قبل بدء العام الدراسي بوقت كافٍ.
فتح باب التقديم الإلكتروني على السكن يكون بعد إغلاق باب التسجيل في الجامعة والانتهاء من إعلان جميع دفعات المرشحين للقبول حسب الموعد الذي تحدده إدارة السكن.
يُناط به تنفيذ حصر أسماء المقبولات في السكن واستدعاؤهن قبل بداية الدراسة بأسبوع لتعبئة المستندات والنماذج اللازمة، في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: ويشترط حضور ولي الأمر، ولا يجوز للطالبة تعبئتها دون علم ولي أمرها.
إذا كان ولي أمر الطالبة هو الشخص الذي سيتولى أخذ الطالبة في بداية الإجازات والعطلات الرسمية ولم يوكل وكيلاً ينوب عنه، فيقدم ما يلي:
صورتين من حفيظة النفوس أو بطاقة العائلة موضح فيها إثبات الطالبة أو وثيقة الولاية الشرعية على الطالبة.
صورتين شخصية لولي أمر الطالبة أو الولي الشرعي.
إذا كان لولي أمر الطالبة وكيل ينوب عنه في أخذ الطالبة من السكن في بداية الإجازات والعطل الرسمية، فيقدم الوثائق التالية:
صورتين لحفيظة النفوس أو بطاقة الأحوال للوكيل أو الوكيلة.
وكالة شرعية من المحكمة أو تفويض يعبأ من قبل ولي الأمر أمام إدارة محارم الطالبة.
لا يجوز للوكيل أن يتنازل دون علم الولي الشرعي عن وكالته لوكيل آخر.
يستقبل السكن الطالبات بدءًا من الساعة الثانية ظهرًا يوم السبت لكل بداية دراسة بعد العطلات الدراسية حتى الساعة العاشرة مساءً.
بعد قبول الطالبات في السكن ترفع أسماء الطالبات المقبولات لجهة الاختصاص لاعتمادها.",73.99,مرتفع,تخفيض/ضبط التشابه نحو سقف ≈75%
20,هل أستطيع حجز موعد للقاء مسؤول؟,نعم، يتوفر نموذج إلكتروني لطلب مقابلة مسؤول، وسيتم تحديد الموعد المناسب بعد مراجعة الطلب.,يتوفر نموذج إلكتروني لطلب مقابلة مسؤول، نعم، وسيُنفّذ تحديد الموعد المناسب بعد مراجعة الطلب.,74.43,مرتفع,—
21,كيف يمكنني تقديم شكوى أو ملاحظة؟,"نرحب بملاحظاتكم أو الشكوى المقدمة من خلال البريد الإلكتروني:
tawasul@taibahu.edu.sa
أو عبر زيارة مكتب خدمة المستفيدين مباشرة.","tawasul@taibahu.edu.sa
نرحب بملاحظاتكم أو الشكوى المقدمة باستعمال البريد الإلكتروني:
أو عبر زيارة مكتب خدمة المستفيدين مباشرة.",74.22,مرتفع,—
22,ما هي ساعات العمل الرسمية لاستقبال المستفيدين؟,نسعد باستقبالكم من الأحد إلى الخميس، من الساعة 8:00 صباحًا وحتى 2:00 ظهرًا.,من الساعة 8:00 صباحًا وحتى 2:00 ظهرًا.، في إطار الضوابط المعلن عنها: نسعد باستقبالكم من الأحد إلى الخميس,72.52,مرتفع,تخفيض/ضبط التشابه نحو سقف ≈75%
23,كيف يمكنني التواصل مع الكلية أو المرشد الأكاديمي؟,يمكنكم التواصل عبر البريد الإلكتروني الجامعي، أو من خلال خدمة المستفيدين التي تقوم بالتوجيه وفق الكلية المعنية.,يمكنكم التواصل من خلال البريد الإلكتروني الجامعي؛ أو باستعمال خدمة المستفيدين التي تقوم بالتوجيه وفق الكلية المعنية.,73.92,مرتفع,—
24,كيف يمكنني التواصل مع إدارة خدمة المستفيدين؟,"يمكنك التواصل معنا عبر البريد الإلكتروني الرسمي للإدارة أو من خلال نموذج ""اتصل بنا"" الموجود على الموقع.
كما يمكنك الحضور شخصياً خلال ساعات الدوام الرسمي.","في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: كما يمكنك الحضور شخصياً خلال ساعات الدوام الرسمي.
يمكنك التواصل معنا عبر البريد الإلكتروني الرسمي للإدارة أو من خلال نموذج ""اتصل بنا"" الموجود على الموقع.",63.05,مرتفع,تخفيض/ضبط التشابه نحو سقف ≈75%
25,ماهي شروط القبول بالسكن الداخلي؟,"أن تكون الطالبة سعودية.
أن تكون الطالبة منتظمة في الدراسة في إحدى كليات الجامعة أو الدراسات العليا، وأن تسمح التعليمات والطاقة الاستيعابية للسكن بقبولها، ويشترط لقبول طالبة الدراسات العليا العمل لبعض الساعات المكتبية في الإشراف على الطالبات حسب تعليمات إدارة السكن.
أن تكون أسرة الطالبة غير مقيمة في المدينة التي فيها السكن.
ألا يكون صدر بشأنها حكم تأديبي من كليتها أو حرمت من السكن بقرار تأديبي.
أن توقع الطالبة وولي أمرها على الالتزام باللوائح والأنظمة الجامعية بما فيها اللوائح والأنظمة المنظمة للسكن وما يترتب على الخروج عنها.
يشترط لقبول الطالبات الباقيات للإعادة توفر أماكن شاغرة بالسكن وأن يتم تحصيل الرسوم المقررة للإعاشة أو أي رسوم أخرى يلزم بها طالبات السكن.
موافقة ولي الأمر على مشاركة الطالبة في الأنشطة والبرامج والرحلات الرسمية التي تعدها إدارة السكن داخل أو خارج السكن أو ما يستجد من شروط.","في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: وأن تسمح التعليمات والطاقة الاستيعابية للسكن بقبولها، في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: أن تكون الطالبة منتظمة في الدراسة في إحدى كليات الجامعة أو الدراسات العليا، ويشترط لقبول طالبة الدراسات العليا العمل لبعض الساعات المكتبية في الإشراف على الطالبات حسب تعليمات إدارة السكن.
أن تكون الطالبة سعودية.
أن تكون أسرة الطالبة غير مقيمة في المدينة التي فيها السكن.
ألا يكون صدر بشأنها حكم تأديبي من كليتها أو حرمت من السكن بقرار تأديبي.
أن توقع الطالبة وولي أمرها على الالتزام باللوائح والأنظمة الجامعية بما فيها اللوائح والأنظمة المنظمة للسكن وما يترتب على الخروج عنها.
يشترط لقبول الطالبات الباقيات للإعادة توفر أماكن شاغرة بالسكن وأن يُناط به تنفيذ تحصيل الرسوم المقررة للإعاشة أو أي رسوم أخرى يلزم بها طالبات السكن.
موافقة ولي الأمر على مشاركة الطالبة في الأنشطة والبرامج والرحلات الرسمية التي تعدها إدارة السكن داخل أو خارج السكن أو ما يستجد من شروط.",70.47,مرتفع,تخفيض/ضبط التشابه نحو سقف ≈75%
26,ما هي التصنيفات العالمية التي دخلتها جامعة طيبة؟,جامعة طيبة تميزت بدخول العديد من التصنيفات الدولية المرموقة مثل تصنيف QS، وتصنيف Times Higher Education (THE)، بالإضافة إلى تصنيف Impact Rankings الذي يركز على المساهمة في تحقيق أهداف التنمية المستدامة (SDGs)، وتصنيف UI GreenMetric المتخصص في قياس الأداء البيئي والاستدامة في الجامعات.,في إطار الضوابط المعلن عنها: وتصنيف Times Higher Education (THE)، في إطار الضوابط المعلن عنها: جامعة طيبة تميزت بدخول العديد من التصنيفات الدولية المرموقة مثل تصنيف QS، بالإضافة إلى تصنيف Impact Rankings الذي يركز على المساهمة في تحقيق أهداف التنمية المستدامة (SDGs)، وتصنيف UI GreenMetric المتخصص في قياس الأداء البيئي والاستدامة في الجامعات.,74.92,مرتفع,تخفيض/ضبط التشابه نحو سقف ≈75%
27,هل يحق لطلبة المنح الداخلية التقديم على التخصصات الصحية؟,لا يحق لطلبة المنح الداخلية التقديم على التخصصات الصحية.,لا يجوز لطلبة المنح الداخلية التقديم على التخصصات الصحية.,70.26,مرتفع,—
28,متى يتم تفعيل بوابة التسجيل للمنح الخارجية وماهي المستندات المطلوبة؟,"المنح الخارجية يتم التقديم عليها عبر بوابة تعلم في السعودية، ولمزيد من المعلومات يرجى زيارة الرابط:
https://studyinsaudi.moe.gov.sa/","ولمزيد من المعلومات يرجى زيارة الرابط:
https://studyinsaudi.moe.gov.sa/، المنح الخارجية يُناط به تنفيذ التقديم عليها من خلال بوابة تعلم في السعودية",57.08,متوسط,تخفيض/ضبط التشابه نحو سقف ≈75%
29,هل سيتم الإعلان عن أدنى نسبة تم قبولها للطالب/ـة للمنح الداخلية والخارجية؟,القبول في المنح الداخلية والخارجية مرهون بموافقة وزارة التعليم على الطلب والأعداد المتاحة لهم، وليس فقط النسبة الموزونة.,في إطار الضوابط المعلن عنها: في إطار الضوابط المعلن عنها: القبول في المنح الداخلية والخارجية مرهون بموافقة وزارة التعليم على الطلب والأعداد المتاحة لهم، وليس فقط النسبة الموزونة.,59.59,متوسط,تخفيض/ضبط التشابه نحو سقف ≈75%
30,هل من الممكن التعديل على بيانات الطالب عند الخطأ في رقم الجوال في المنح الداخلية والخارجية؟,يمكن تعديل البيانات الشخصية وبيانات التواصل للطالب من خلال رابط استكمال البيانات.,في إطار الضوابط المعلن عنها: يمكن تعديل البيانات الشخصية وبيانات التواصل للطالب من خلال رابط استكمال البيانات.,74.74,مرتفع,—
