question_id,question,reference_answer,generated_answer,q_chunk_match_pct,cosine_similarity_pct,classification,notes
11,ماهي المستندات المطلوب ارفاقها للحصول على الاعانة؟,"تعبئة نموذج طلب الإعانة.
خطاب مقدم من الطالب/ــة بطلب الإعانة.
سجل العائلة لأفراد الأسرة.
السجل الأكاديمي.
صورة من الهوية الوطنية.
صورة من البطاقة الجامعية.
شهادة تعريف براتب ولي الأمر.
إفادة من الضمان الاجتماعي للأسرة في حال وفاة رب الأسرة.","الباب الرابع: الحقوق والالتزامات
ثانياً: التزامات الطلبة المقيمين بالإسكان الطلابي
34. يتم تواصل الطلبة مع مشرف أو مشرفة الإسكان في حال الشكوى أو المقترحات أو الرفع عن طريق صندوق الشكاوى الذي يفتح من قبل مدير أو مديرة الإسكان الطلابي أو عن طريق البريد الإلكتروني أو الرسائل النصية أو أي وسائل أخرى تعتمدها عمادة شؤون الطلاب.",48.74,68.8,مرتفع,chunk_id=taibah_student_housing_rules_ar-0113 | from_file=taibah_student_housing_rules_ar.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=48.74%)
12,ماهي آلية وشروط الاستفادة من الاعانة الطلابية؟,"أن يكون الطالب/ــة منتظماً بالجامعة.
أن تكون المكافأة منقطعة لتجاوزها المدة النظامية المسموح بها.
تصرف إعانة مقدارها 500 ريال في حالة انقطاع المكافأة.
أن يحضر الطالب/ــة للإدارة ما يثبت احتياجه/ها للإعانة وفق المستندات المطلوبة لطلب إعانة أعلى من 500 ريال.
ألا يكون صدر بحق الطالب/ــة عقوبة تأديبية.
الحد الأقصى لقيمة القرض 1000 ريال، وما زاد على ذلك يعرض على إدارة صندوق الطالب.
إرفاق الأوراق الرسمية التي تثبت حاجته/ها إلى الإعانة.","الباب الأول: التعريفات والأهداف
التعريفات
11. العقوبة: العقوبة التأديبية المنصوص عليها في قواعد السلوك والانضباط الطلابي بجامعة طيبة.",52.72,66.59,مرتفع,chunk_id=taibah_student_housing_rules_ar-0012 | from_file=taibah_student_housing_rules_ar.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=52.72%)
13,هل يمكن للطالب/ــة الحصول على العشرة ريالات التي تحسم من المكافأة لصالح صندوق الطالب؟,لا يمكن الحصول عليها، وإنما يعاد صرفها على الأنشطة والبرامج الطلابية والرياضية، ويمكن للطالب/ــة الالتحاق بالنوادي والبرامج للاستفادة منها.,"القسم الثاني: المقررات الاختيارية الحرة
٢-٣: ضوابط تسجيل الطالب في المقررات الحرة

١. منع التكرار أو التداخل الأكاديمي: لا يحق للطالب تسجيل مقرر حر إذا كان المقرر ضمن خطته الدراسية، أو مكافئاً لأحد مقررات تخصصه الأكاديمي.

٢. أولوية التسجيل: تُمَنَح الأسبقية لطلبة البرنامج الأصلي للمقرر، وتكون داخل البرنامج للطلبة المنتظمين وفق خططهم الدراسية ثم المتوقع تخرجهم؛ ثم يُفتح التسجيل لطلبة من خارج التخصص شريطة أن يكون المقرر مستحقاً في خطتهم وبالمستوى الدراسي للطالب ودون تعارض.

٣. التنقل بين الكليات: يحق للطالب التسجيل بالمقررات الحرة من أي كلية داخل الجامعة، مع ضرورة عدم وجود تعارض أكاديمي في جدول الطالب، وفي الفرع الذي يدرس به.",50.62,57.22,متوسط,chunk_id=general_education_elective_courses_policy_cleaned-0049 | from_file=general_education_elective_courses_policy_cleaned.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=50.62%)
14,هل يصرف لطلبة ذوي الإعاقة مكافأة؟,"نعم يصرف لهم مكافأة، ويتم تحديدها من وزارة الشؤون الاجتماعية على حسب حالة الطالب/ــة مع إضافة بدل إعاقة، وهي كالآتي:
الكفيف: تصرف له مكافأة شهرية مع راتب بالمرتبة الخامسة الدرجة الأولى.
المعاق: وهم فئتان تحددان على حسب نسبة الإعاقة المحددة من قبل وزارة الشؤون الاجتماعية.
متوسطي الإعاقة: تصرف لهم مكافأة شهرية مع بدل 1500 ريال.
شديدي الإعاقة: تصرف لهم مكافأة شهرية مع راتب المرتبة الخامسة الدرجة الأولى.","رابعاً: آلية المفاضلة بين المتقدمين في الزيارة الداخلية
تُعطى الأولوية للمستفيدين مباشرة من الضمان الاجتماعي.
في حال توفر مقاعد إضافية، تُخصص للأيتام، وذوي الإعاقة، والفئات المماثلة حسب الطاقة الاستيعابية، وتشمل الفئات المماثلة:
أبناء أسر السجناء.
أبناء الشهداء.
أي فئة أخرى يصدر بشأنها تعميم أو قرار رسمي من وزارة التعليم أو الجهات المختصة.
عند تساوي الطلبات، تكون المفاضلة وفق المعدل التراكمي.
في حال استمرار التساوي، يُعتمد ترتيب أسبقية التقديم الإلكتروني.",59.73,66.25,مرتفع,chunk_id=دليل شروط و إجراءات الدراسة بنظام الزيارة بجامعة طيبة-0011 | from_file=دليل شروط و إجراءات الدراسة بنظام الزيارة بجامعة طيبة.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=59.73%)
15,ماهي الحالات التي لا تصرف فيها المكافأة؟,"لا تصرف المكافأة للطالب الذي تجاوز المدة النظامية.
تحسب فترة الاعتذار ضمن المدة النظامية.
لا تحسب فترة التأجيل ضمن المدة النظامية.
لا تحسب فترة الانقطاع ضمن المدة النظامية.
تحسب الفصول الدراسية السابقة للطالب المحول من داخل الجامعة، سواء من قسم إلى قسم آخر، أو من كلية إلى كلية داخل الجامعة.
الاعتذار عن الدراسة:
لا تصرف المكافأة للطالب الذي اعتذر عن الدراسة، حيث لا تصرف مكافأة الطالب المعتذر من تاريخ الاعتذار، ولا تسترجع المكافأة التي صرفت له خلال دراسته حتى اعتذاره، ويحتسب فصل الاعتذار ضمن المدة النظامية.
تأجيل الدراسة:
لا تصرف المكافأة للطالب الذي أجل الدراسة، ولا تحسب مدة التأجيل ضمن المدة النظامية.
الحصول على إنذار أكاديمي أو قرار تأديبي:
لا تصرف المكافأة للطالب الذي وجه له إنذار أكاديمياً أو قرار تأديبي.","الفصل الأول: التعريفات
القاعدة التنفيذية للمادة الأولى
تأجيل الدراسة: عدم تسجيل الطالب أي مقرر في فصل دراسي أو سنة دراسية قادمة ويرغب تأجيل الدراسة فيه أو فيها بطلب من الطالب، ولا تحسب فترة التأجيل ضمن المدة النظامية للتخرج.",15.77,75.64,مرتفع,chunk_id=taibah_academic_regulations_ar.txt-0032 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=15.77%)
16,هل يصرف للطلبة مكافأة امتياز؟,نعم تصرف مكافأة الامتياز لطلبة البكالوريوس، ومقدارها 1000 ريال للطالب الحاصل على تقدير ممتاز في كل عام دراسي.,"الفصل الأول: التعريفات
التقدير العام: وصف مستوى التحصيل العلمي للطالب خلال مدة دراسته في الجامعة.",52.27,56.43,متوسط,chunk_id=taibah_academic_regulations_ar.txt-0016 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=52.27%)
17,كم المدة النظامية لصرف المكافآت الشهرية لطلبة الكليات؟,حسب الخطة النظامية المعتمدة للتخرج.,"الفصل الثالث: أنظمة الدراسة
القواعد التنفيذية للمادة التاسعة عشرة
ج. أن يكون التخرج من البرنامج الدراسي في المدة النظامية المقررة.",55.99,65.49,مرتفع,chunk_id=taibah_academic_regulations_ar.txt-0084 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=55.99%)
18,ماهي متطلبات الحصول على المكافأة الشهرية؟,"أن يكون الطالب/ــة منتظماً.
عدم وجود إنذار أكاديمي.
وجود جدول دراسي.","الفصل الدراسي الثاني
* تُحدث قائمة المقررات والأقسام والكليات المناطة بهم حسب القرارات الواردة من اللجنة الدائمة للمناهج بالجامعة.",22.82,66.07,مرتفع,chunk_id=دليل المقرارات العامه-0029 | from_file=دليل المقرارات العامه.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=22.82%)
19,ماهي إجراءات القبول في السكن الجامعي؟,"تحدد إدارة السكن الداخلي الطاقة الاستيعابية للقبول قبل بدء العام الدراسي بوقت كافٍ.
فتح باب التقديم الإلكتروني على السكن يكون بعد إغلاق باب التسجيل في الجامعة والانتهاء من إعلان جميع دفعات المرشحين للقبول حسب الموعد الذي تحدده إدارة السكن.
يتم حصر أسماء المقبولات في السكن واستدعاؤهن قبل بداية الدراسة بأسبوع لتعبئة المستندات والنماذج اللازمة، ويشترط حضور ولي الأمر، ولا يجوز للطالبة تعبئتها دون علم ولي أمرها.
إذا كان ولي أمر الطالبة هو الشخص الذي سيتولى أخذ الطالبة في بداية الإجازات والعطلات الرسمية ولم يوكل وكيلاً ينوب عنه، فيقدم ما يلي:
صورتين من حفيظة النفوس أو بطاقة العائلة موضح فيها إثبات الطالبة أو وثيقة الولاية الشرعية على الطالبة.
صورتين شخصية لولي أمر الطالبة أو الولي الشرعي.
إذا كان لولي أمر الطالبة وكيل ينوب عنه في أخذ الطالبة من السكن في بداية الإجازات والعطل الرسمية، فيقدم الوثائق التالية:
صورتين لحفيظة النفوس أو بطاقة الأحوال للوكيل أو الوكيلة.
وكالة شرعية من المحكمة أو تفويض يعبأ من قبل ولي الأمر أمام إدارة محارم الطالبة.
لا يجوز للوكيل أن يتنازل دون علم الولي الشرعي عن وكالته لوكيل آخر.
يستقبل السكن الطالبات بدءًا من الساعة الثانية ظهرًا يوم السبت لكل بداية دراسة بعد العطلات الدراسية حتى الساعة العاشرة مساءً.
بعد قبول الطالبات في السكن ترفع أسماء الطالبات المقبولات لجهة الاختصاص لاعتمادها.","المادة الرابعة عشرة: الإجراءات المتبعة في حالة الغش
تقوم كل جهة تعليمية بتشكيل لجنة للطلاب وأخرى للطالبات للتحقيق في هذه الحالات برئاسة وكيل أو وكيلة الجهة التعليمية، وعضوية اثنين من أعضاء هيئة التدريس يختارهما عميد أو مدير تلك الجهة، ولا تصح جلسات هذه اللجان إلا بحضور ثلثي أعضائها وتصدر توصياتها بأغلبية أصوات الأعضاء، ويجوز أن يتم التحقيق مع الطالب عن بعد وفق الأنظمة واللوائح ذات العلاقة، وترفع التوصيات للجنة تأديب الطلاب لإقرارها أو تحديد العقوبة المناسبة.
إذا تم ضبط الطالب متلبساً بالغش أو محاولاً للغش، فإنه يتم التحفظ على ورقة اختباره وأداة الغش، ويلزمه رئيس اللجنة أو مراقب الامتحان بمغادرة قاعة الامتحان، ويحرر محضراً بذلك، وله الاستعانة بإدارة الأمن والسلامة، ويقدمه مع المستندات إلى عميد الجهة أو من ينيبه ليحيله خلال ثلاثة أيام عمل إلى لجنة التحقيق للتوصية بالعقوبة المناسبة.
كل من يرتكب مخالفات أخرى (مثل رفع الصوت في القراءة، أو التحدث إلى طالب آخر، أو إخراج الجوال، أو رفض تسليم أوراق الامتحان، وغير ذلك) داخل أماكن الامتحانات ينذره مراقب الامتحان، وفي حالة تكرار المخالفة يلزمه رئيس اللجنة أو مراقب الامتحان بمغادرة القاعة، ويحرر محضراً بذلك، ويقدمه إلى عميد الكلية ليحيله إلى لجنة التحقيق خلال ثلاثة أيام عمل لتوجيه العقوبة المناسبة. وعلى عمادة الكلية أو المعهد أو المركز رفع الحالة وما اتخذ فيها من توصيات إلى لجنة تأديب الطلاب في الجامعة خلال عشرة أيام عمل من تاريخ محضر الضبط.
يراعى في كتابة التقارير والمحاضر الخاصة بالضبط والتحقيق في حالات الغش خلوها من الشطب أو الطمس، وتوقيع الطالب عليها، مع تثبيت تواقيع أعضاء اللجنة المعنية على كل ورقة من أوراق المحاضر أو التقارير.",39.62,72.03,مرتفع,chunk_id=taibah_student_conduct_and_discipline_rules_ar.txt-0016 | from_file=taibah_student_conduct_and_discipline_rules_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=39.62%)
20,هل أستطيع حجز موعد للقاء مسؤول؟,نعم، يتوفر نموذج إلكتروني لطلب مقابلة مسؤول، وسيتم تحديد الموعد المناسب بعد مراجعة الطلب.,"القسم الأول: مقررات المتطلبات العامة
قبل الاختبار
2. تُسَلَّم أسئلة الاختبارات مطبوعة ومصوَّرة من مُنسَّق المقرر إلى مُنسَّقي الكليات المستفيدة قبل موعد الاختبار بيومين على الأقل، وتُرسَل إلى الفروع بوقتٍ أبكر يُحدَّد بما يضمن وصولها قبل الموعد بوقتٍ كافٍ، وذلك عبر آلية تسليم مُوثِقة (محضر تسليم/استلام وتتبع).",22.6,53.25,متوسط,chunk_id=general_education_elective_courses_policy_cleaned-0039 | from_file=general_education_elective_courses_policy_cleaned.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=22.60%)
21,كيف يمكنني تقديم شكوى أو ملاحظة؟,"نرحب بملاحظاتكم أو الشكوى المقدمة من خلال البريد الإلكتروني:
tawasul@taibahu.edu.sa
أو عبر زيارة مكتب خدمة المستفيدين مباشرة.","القسم الثاني: المقررات الاختيارية الحرة
بيانات التواصل
البريد الإلكتروني: Dar-support@taibahu.edu.sa",25.85,58.7,متوسط,chunk_id=general_education_elective_courses_policy_cleaned-0063 | from_file=general_education_elective_courses_policy_cleaned.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=25.85%)
22,ما هي ساعات العمل الرسمية لاستقبال المستفيدين؟,نسعد باستقبالكم من الأحد إلى الخميس، من الساعة 8:00 صباحًا وحتى 2:00 ظهرًا.,"الباب الثالث: الشروط والأنظمة
1. يسمح بدخول الزوار للسكن بحسب الأوقات التالية
- يومي الجمعة والسبت من الساعة 9: 00 صباحاً إلى 9: 00 مساءً.",50.26,59.38,متوسط,chunk_id=taibah_student_housing_rules_ar-0042 | from_file=taibah_student_housing_rules_ar.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=50.26%)
23,كيف يمكنني التواصل مع الكلية أو المرشد الأكاديمي؟,يمكنكم التواصل عبر البريد الإلكتروني الجامعي، أو من خلال خدمة المستفيدين التي تقوم بالتوجيه وفق الكلية المعنية.,"ثالثاً: قنوات تقديم الشكوى
- النظام الإلكتروني
- البريد الإلكتروني
- مكاتب الدعم الطلابي
- التواصل المباشر

شرح:
الأفضل استخدام النظام الإلكتروني لأنه موثق وأسهل للمتابعة.",41.45,58.96,متوسط,chunk_id=تنظيم تقديم الشكاوى وضمان العدالة والشفافية للطلاب بالعربي-0005 | from_file=تنظيم تقديم الشكاوى وضمان العدالة والشفافية للطلاب بالعربي.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=41.45%)
24,كيف يمكنني التواصل مع إدارة خدمة المستفيدين؟,"يمكنك التواصل معنا عبر البريد الإلكتروني الرسمي للإدارة أو من خلال نموذج ""اتصل بنا"" الموجود على الموقع.
كما يمكنك الحضور شخصياً خلال ساعات الدوام الرسمي.","القسم الثاني: المقررات الاختيارية الحرة
بيانات التواصل
البريد الإلكتروني: Dar-support@taibahu.edu.sa",35.18,52.45,متوسط,chunk_id=general_education_elective_courses_policy_cleaned-0063 | from_file=general_education_elective_courses_policy_cleaned.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=35.18%)
25,ماهي شروط القبول بالسكن الداخلي؟,"أن تكون الطالبة سعودية.
أن تكون الطالبة منتظمة في الدراسة في إحدى كليات الجامعة أو الدراسات العليا، وأن تسمح التعليمات والطاقة الاستيعابية للسكن بقبولها، ويشترط لقبول طالبة الدراسات العليا العمل لبعض الساعات المكتبية في الإشراف على الطالبات حسب تعليمات إدارة السكن.
أن تكون أسرة الطالبة غير مقيمة في المدينة التي فيها السكن.
ألا يكون صدر بشأنها حكم تأديبي من كليتها أو حرمت من السكن بقرار تأديبي.
أن توقع الطالبة وولي أمرها على الالتزام باللوائح والأنظمة الجامعية بما فيها اللوائح والأنظمة المنظمة للسكن وما يترتب على الخروج عنها.
يشترط لقبول الطالبات الباقيات للإعادة توفر أماكن شاغرة بالسكن وأن يتم تحصيل الرسوم المقررة للإعاشة أو أي رسوم أخرى يلزم بها طالبات السكن.
موافقة ولي الأمر على مشاركة الطالبة في الأنشطة والبرامج والرحلات الرسمية التي تعدها إدارة السكن داخل أو خارج السكن أو ما يستجد من شروط.","الباب الأول: التعريفات والأهداف
تهدف هذه القواعد إلى ما يلي
1. تهيئة البيئة المناسبة لإقامة الطلبة الجامعيين بناءً على الإمكانيات المتاحة في الإسكان الطلابي.",55.51,77.69,مرتفع,chunk_id=taibah_student_housing_rules_ar-0015 | from_file=taibah_student_housing_rules_ar.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=55.51%)
26,ما هي التصنيفات العالمية التي دخلتها جامعة طيبة؟,جامعة طيبة تميزت بدخول العديد من التصنيفات الدولية المرموقة مثل تصنيف QS، وتصنيف Times Higher Education (THE)، بالإضافة إلى تصنيف Impact Rankings الذي يركز على المساهمة في تحقيق أهداف التنمية المستدامة (SDGs)، وتصنيف UI GreenMetric المتخصص في قياس الأداء البيئي والاستدامة في الجامعات.,"الفصل الأول: التعريفات
التقدير العام: وصف مستوى التحصيل العلمي للطالب خلال مدة دراسته في الجامعة.",60.2,51.59,متوسط,chunk_id=taibah_academic_regulations_ar.txt-0016 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=60.20%)
